starttime	seconds	ctime	dtime	ttime	wait
Mon Sep 17 09:31:48 2018	1537169508	656	1017	1672	1014
Mon Sep 17 09:32:54 2018	1537169574	1508	165	1673	165
Mon Sep 17 09:35:44 2018	1537169744	1013	661	1674	660
Mon Sep 17 09:31:56 2018	1537169516	1295	379	1674	371
Mon Sep 17 09:34:49 2018	1537169689	1582	93	1675	91
Mon Sep 17 09:35:44 2018	1537169744	1036	639	1675	637
Mon Sep 17 09:35:44 2018	1537169744	1038	636	1675	635
Mon Sep 17 09:31:56 2018	1537169516	1162	513	1675	504
Mon Sep 17 09:35:40 2018	1537169740	1343	332	1675	328
Mon Sep 17 09:32:43 2018	1537169563	691	985	1675	984
Mon Sep 17 09:34:49 2018	1537169689	1559	117	1676	114
Mon Sep 17 09:33:39 2018	1537169619	1519	157	1676	151
Mon Sep 17 09:32:56 2018	1537169576	1348	329	1676	328
Mon Sep 17 09:36:07 2018	1537169767	979	698	1676	697
Mon Sep 17 09:35:41 2018	1537169741	829	848	1677	848
Mon Sep 17 09:33:34 2018	1537169614	1147	530	1677	529
Mon Sep 17 09:36:07 2018	1537169767	979	698	1677	697
Mon Sep 17 09:32:54 2018	1537169574	412	1266	1677	1263
Mon Sep 17 09:36:13 2018	1537169773	708	969	1677	969
Mon Sep 17 09:36:13 2018	1537169773	745	932	1677	932
Mon Sep 17 09:36:13 2018	1537169773	708	970	1678	969
Mon Sep 17 09:33:31 2018	1537169611	1502	175	1678	175
Mon Sep 17 09:36:13 2018	1537169773	734	943	1678	943
Mon Sep 17 09:33:31 2018	1537169611	1490	188	1678	188
Mon Sep 17 09:33:34 2018	1537169614	1148	530	1678	529
Mon Sep 17 09:35:30 2018	1537169730	1506	172	1678	147
Mon Sep 17 09:34:27 2018	1537169667	1590	88	1678	88
Mon Sep 17 09:33:11 2018	1537169591	761	919	1680	895
Mon Sep 17 09:31:54 2018	1537169514	957	723	1680	722
Mon Sep 17 09:33:11 2018	1537169591	762	919	1680	895
Mon Sep 17 09:35:44 2018	1537169744	1070	610	1680	602
Mon Sep 17 09:31:54 2018	1537169514	1031	650	1680	649
Mon Sep 17 09:31:54 2018	1537169514	957	723	1680	722
Mon Sep 17 09:33:11 2018	1537169591	762	919	1681	895
Mon Sep 17 09:33:11 2018	1537169591	762	919	1681	895
Mon Sep 17 09:33:11 2018	1537169591	761	920	1681	895
Mon Sep 17 09:31:54 2018	1537169514	1018	663	1681	662
Mon Sep 17 09:33:37 2018	1537169617	1231	450	1681	450
Mon Sep 17 09:35:58 2018	1537169758	1156	525	1681	525
Mon Sep 17 09:34:27 2018	1537169667	1609	72	1681	71
Mon Sep 17 09:31:54 2018	1537169514	1018	663	1681	662
Mon Sep 17 09:31:54 2018	1537169514	957	724	1681	723
Mon Sep 17 09:35:58 2018	1537169758	1175	507	1681	506
Mon Sep 17 09:31:54 2018	1537169514	1018	664	1681	663
Mon Sep 17 09:35:58 2018	1537169758	1175	507	1682	506
Mon Sep 17 09:31:54 2018	1537169514	1031	651	1682	650
Mon Sep 17 09:31:54 2018	1537169514	1031	651	1682	650
Mon Sep 17 09:31:54 2018	1537169514	1031	651	1682	650
Mon Sep 17 09:31:54 2018	1537169514	1000	682	1682	681
Mon Sep 17 09:33:31 2018	1537169611	1274	408	1682	407
Mon Sep 17 09:33:17 2018	1537169597	1338	345	1682	288
Mon Sep 17 09:35:58 2018	1537169758	1175	507	1683	506
Mon Sep 17 09:34:42 2018	1537169682	953	730	1683	729
Mon Sep 17 09:33:17 2018	1537169597	1457	227	1683	183
Mon Sep 17 09:34:49 2018	1537169689	1627	56	1683	56
Mon Sep 17 09:34:42 2018	1537169682	969	715	1684	713
Mon Sep 17 09:34:42 2018	1537169682	952	731	1684	730
Mon Sep 17 09:33:37 2018	1537169617	1282	402	1684	401
Mon Sep 17 09:34:42 2018	1537169682	795	889	1684	888
Mon Sep 17 09:34:42 2018	1537169682	983	701	1684	699
Mon Sep 17 09:34:42 2018	1537169682	983	701	1684	700
Mon Sep 17 09:34:27 2018	1537169667	1619	66	1684	66
Mon Sep 17 09:34:42 2018	1537169682	983	702	1685	700
Mon Sep 17 09:34:40 2018	1537169680	1422	263	1685	263
Mon Sep 17 09:33:31 2018	1537169611	1472	214	1685	213
Mon Sep 17 09:33:31 2018	1537169611	1471	214	1685	213
Mon Sep 17 09:34:40 2018	1537169680	1422	263	1686	263
Mon Sep 17 09:33:17 2018	1537169597	1309	376	1686	376
Mon Sep 17 09:31:06 2018	1537169466	1586	99	1686	71
Mon Sep 17 09:32:36 2018	1537169556	1101	585	1686	584
Mon Sep 17 09:31:37 2018	1537169497	1131	556	1686	554
Mon Sep 17 09:32:36 2018	1537169556	1127	560	1686	558
Mon Sep 17 09:32:36 2018	1537169556	1132	555	1686	553
Mon Sep 17 09:32:36 2018	1537169556	1127	560	1687	559
Mon Sep 17 09:35:43 2018	1537169743	1318	369	1687	368
Mon Sep 17 09:35:43 2018	1537169743	1292	395	1687	394
Mon Sep 17 09:35:30 2018	1537169730	1577	110	1687	93
Mon Sep 17 09:34:27 2018	1537169667	1619	68	1687	68
Mon Sep 17 09:32:36 2018	1537169556	1127	560	1687	559
Mon Sep 17 09:32:36 2018	1537169556	1127	560	1687	558
Mon Sep 17 09:32:36 2018	1537169556	1127	560	1687	559
Mon Sep 17 09:34:03 2018	1537169643	439	1249	1687	1212
Mon Sep 17 09:34:27 2018	1537169667	1590	97	1687	67
Mon Sep 17 09:35:30 2018	1537169730	1564	124	1688	104
Mon Sep 17 09:35:10 2018	1537169710	1609	79	1688	78
Mon Sep 17 09:35:30 2018	1537169730	1564	124	1688	111
Mon Sep 17 09:32:28 2018	1537169548	1594	94	1688	92
Mon Sep 17 09:36:09 2018	1537169769	1006	682	1688	682
Mon Sep 17 09:35:30 2018	1537169730	1563	125	1688	108
Mon Sep 17 09:32:34 2018	1537169554	771	918	1688	917
Mon Sep 17 09:34:40 2018	1537169680	1464	224	1688	224
Mon Sep 17 09:35:43 2018	1537169743	1294	395	1688	394
Mon Sep 17 09:35:28 2018	1537169728	495	1194	1689	1194
Mon Sep 17 09:35:43 2018	1537169743	1293	396	1689	395
Mon Sep 17 09:34:38 2018	1537169678	1287	402	1689	402
Mon Sep 17 09:35:54 2018	1537169754	326	1363	1689	1363
Mon Sep 17 09:34:40 2018	1537169680	1452	237	1689	236
Mon Sep 17 09:34:15 2018	1537169655	1575	114	1689	111
Mon Sep 17 09:33:39 2018	1537169619	1473	217	1690	194
Mon Sep 17 09:34:40 2018	1537169680	1453	237	1690	237
Mon Sep 17 09:34:27 2018	1537169667	1625	66	1690	66
Mon Sep 17 09:33:38 2018	1537169618	1401	290	1691	282
Mon Sep 17 09:33:08 2018	1537169588	836	855	1691	804
Mon Sep 17 09:35:55 2018	1537169755	1547	144	1691	139
Mon Sep 17 09:33:08 2018	1537169588	894	797	1691	747
Mon Sep 17 09:32:57 2018	1537169577	1029	662	1691	660
Mon Sep 17 09:31:50 2018	1537169510	695	996	1691	996
Mon Sep 17 09:31:50 2018	1537169510	725	967	1692	967
